|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   50000.000000000000
          31
T(K)
   1200.00000000000000
   100.000000000000000
          31
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol
200001  1400 3997.57 1.83555e-05 4.08844e-07 2.51642e+06 1.26168e+06 7.9338 10.2482 5.61785 2151.49 -6.8904e+06 1187.95 2.48179
250001  1400 4340.26 2.25685e-05 3.50312e-07 2.99973e+06 1.58223e+06 8.31322 10.849 6.03679 2124.73 -5.71361e+06 1206.6 2.28599
300001  1400 4509.47 2.27825e-05 3.1539e-07 3.33254e+06 1.80641e+06 8.59657 11.2833 6.32914 2089.5 -4.6398e+06 1207.85 2.20003
350001  1400 4579.01 2.14705e-05 2.9714e-07 3.5244e+06 1.88284e+06 8.77311 11.4801 6.41237 2064.88 -3.57417e+06 1202.92 2.16664
400001  1400 4645.66 2.0323e-05 2.81107e-07 3.71388e+06 1.95683e+06 8.941 11.6663 6.49009 2041.94 -2.52226e+06 1198.55 2.13554
450001  1400 4709.77 1.93094e-05 2.66892e-07 3.90121e+06 2.02863e+06 9.10123 11.8433 6.56299 2020.45 -1.48335e+06 1194.62 2.10647
500001  1400 4771.51 1.84094e-05 2.54189e-07 4.08658e+06 2.09832e+06 9.25441 12.0116 6.63142 2000.23 -457106 1191.06 2.07923
550001  1400 4831.18 1.76013e-05 2.42757e-07 4.27021e+06 2.16621e+06 9.40146 12.1725 6.69611 1981.13 557512 1187.81 2.05354
600001  1400 4888.95 1.68715e-05 2.32405e-07 4.45225e+06 2.23244e+06 9.54294 12.3269 6.75745 1963.05 1.56109e+06 1184.82 2.02927
650001  1400 4944.95 1.62101e-05 2.22982e-07 4.63279e+06 2.29704e+06 9.67918 12.4749 6.81558 1945.86 2.55377e+06 1182.04 2.0063
700001  1400 4999.35 1.5606e-05 2.14361e-07 4.81199e+06 2.36014e+06 9.81078 12.6173 6.87085 1929.43 3.53637e+06 1179.46 1.98447
750000  1400 5052.29 1.50518e-05 2.06442e-07 4.98991e+06 2.42194e+06 9.93808 12.7547 6.92369 1913.77 4.50939e+06 1177.04 1.96366
800000  1400 5103.84 1.45424e-05 1.9914e-07 5.16662e+06 2.48245e+06 10.0613 12.8873 6.97415 1898.76 5.47289e+06 1174.77 1.94384
850000  1400 5154.12 1.40713e-05 1.92383e-07 5.34219e+06 2.54181e+06 10.1808 13.0155 7.02252 1884.35 6.42756e+06 1172.62 1.92487
900000  1400 5203.22 1.36343e-05 1.86107e-07 5.51676e+06 2.59994e+06 10.2969 13.1396 7.0688 1870.46 7.37371e+06 1170.58 1.9067
950000  1400 5251.19 1.32284e-05 1.80265e-07 5.69025e+06 2.65707e+06 10.4096 13.2599 7.1133 1857.1 8.31142e+06 1168.65 1.88929
1e+06  1400 5298.14 1.28495e-05 1.74809e-07 5.86282e+06 2.71315e+06 10.5194 13.3767 7.15606 1844.18 9.24125e+06 1166.8 1.87255
1.05e+06  1400 5344.12 1.24949e-05 1.69704e-07 6.03444e+06 2.76828e+06 10.6263 13.4902 7.19726 1831.69 1.01635e+07 1165.03 1.85643
1.1e+06  1400 5449.29 1.45845e-05 1.72652e-07 5.96167e+06 2.95081e+06 10.4596 13.476 7.35868 1792.89 1.1034e+07 1170.31 1.82061
1.15e+06  1400 5496.48 1.41966e-05 1.67894e-07 6.12502e+06 3.01654e+06 10.5563 13.5871 7.40817 1779.82 1.19292e+07 1168.11 1.80498
1.2e+06  1400 5542.9 1.38321e-05 1.63422e-07 6.28735e+06 3.08109e+06 10.6504 13.6948 7.45561 1767.22 1.28176e+07 1165.98 1.78986
1.25e+06  1400 5588.57 1.34894e-05 1.59211e-07 6.44858e+06 3.14436e+06 10.7419 13.7988 7.50092 1754.98 1.36987e+07 1163.94 1.77523
1.3e+06  1400 5633.58 1.31661e-05 1.55238e-07 6.60881e+06 3.20639e+06 10.831 13.8996 7.54424 1743.11 1.45731e+07 1161.98 1.76105
1.35e+06  1400 5677.85 1.28603e-05 1.51475e-07 6.7684e+06 3.26715e+06 10.9182 13.9975 7.58564 1731.61 1.54411e+07 1160.08 1.74731
1.4e+06  1400 5721.5 1.25712e-05 1.47911e-07 6.92706e+06 3.32667e+06 11.0032 14.0923 7.62517 1720.39 1.63026e+07 1158.25 1.73399
1.45e+06  1400 5764.51 1.22971e-05 1.44526e-07 7.08506e+06 3.38502e+06 11.0864 14.1846 7.663 1709.52 1.7158e+07 1156.47 1.72105
1.5e+06  1400 5806.93 1.20367e-05 1.41306e-07 7.24248e+06 3.44227e+06 11.1679 14.2745 7.69926 1699.01 1.80076e+07 1154.75 1.70847
    1  1500 3133.56 3.95238e-05 1.14397e-06 940059 538317 5.47717 7.27357 4.14475 2455.93 -1.20449e+07 1239.96 3.16604
50001  1500 3404.27 3.02045e-05 7.87806e-07 1.33439e+06 702666 6.26008 8.1675 4.54302 2399.3 -1.06172e+07 1218.67 2.91438
100001  1500 3540.25 2.51456e-05 6.55192e-07 1.58749e+06 782936 6.69576 8.62082 4.70253 2357.97 -9.23879e+06 1207.25 2.80243
150001  1500 3791.3 2.22913e-05 4.97747e-07 2.08127e+06 1.0098e+06 7.40918 9.50835 5.16088 2308.08 -7.94385e+06 1204.29 2.61678
200001  1500 3982.92 1.85663e-05 4.14881e-07 2.48322e+06 1.22926e+06 7.89561 10.1729 5.55517 2240.83 -6.7603e+06 1193.9 2.49094
250001  1500 4347.68 2.349e-05 3.53381e-07 2.99105e+06 1.58569e+06 8.29417 10.8361 6.03908 2211.49 -5.58842e+06 1217.51 2.28193
300001  1500 4499.03 2.30735e-05 3.18203e-07 3.3156e+06 1.78553e+06 8.58463 11.2522 6.29976 2174.84 -4.51595e+06 1216.38 2.20514
350001  1500  4569 2.17303e-05 2.99573e-07 3.50796e+06 1.86246e+06 8.76219 11.451 6.38455 2149.87 -3.45081e+06 1211.22 2.17138
400001  1500 4636.04 2.05576e-05 2.83236e-07 3.69785e+06 1.93684e+06 8.93095 11.639 6.46355 2126.6 -2.39938e+06 1206.66 2.13998
450001  1500 4700.49 1.95234e-05 2.68771e-07 3.88557e+06 2.00897e+06 9.09193 11.8173 6.53754 2104.82 -1.3609e+06 1202.59 2.11063
500001  1500 4762.53 1.86064e-05 2.55864e-07 4.07127e+06 2.07898e+06 9.24578 11.987 6.60701 2084.35 -335019 1198.93 2.08315
550001  1500 4822.47 1.77841e-05 2.44258e-07 4.25522e+06 2.14711e+06 9.39342 12.1491 6.67255 2065.01 679255 1195.59 2.05725
600001  1500 4880.49 1.70419e-05 2.33758e-07 4.43755e+06 2.21352e+06 9.53542 12.3043 6.73458 2046.69 1.68247e+06 1192.55 2.03279
650001  1500 4936.7 1.63701e-05 2.24209e-07 4.61836e+06 2.27832e+06 9.67216 12.4533 6.79341 2029.3 2.67489e+06 1189.73 2.00965
700001  1500 4991.31 1.57569e-05 2.1548e-07 4.79781e+06 2.34163e+06 9.8042 12.5966 6.84937 2012.72 3.65725e+06 1187.12 1.98766
750000  1500 5044.43 1.51947e-05 2.07465e-07 4.97598e+06 2.40355e+06 9.93192 12.7347 6.90272 1996.88 4.63001e+06 1184.7 1.96673
800000  1500 5096.14 1.46784e-05 2.0008e-07 5.15292e+06 2.46419e+06 10.0555 12.868 6.95369 1981.71 5.59328e+06 1182.42 1.94677
850000  1500 5146.58 1.42011e-05 1.93247e-07 5.32875e+06 2.52359e+06 10.1754 12.9968 7.00243 1967.15 6.54773e+06 1180.28 1.92769
900000  1500 5195.82 1.37586e-05 1.86906e-07 5.50352e+06 2.58184e+06 10.2918 13.1216 7.04916 1953.15 7.49371e+06 1178.26 1.90942
950000  1500 5243.93 1.33477e-05 1.81005e-07 5.67725e+06 2.63901e+06 10.405 13.2425 7.094 1939.66 8.43124e+06 1176.34 1.89191
1e+06  1500 5290.99 1.29644e-05 1.75497e-07 5.85002e+06 2.69517e+06 10.515 13.3598 7.13714 1926.64 9.36092e+06 1174.52 1.87508
1.05e+06  1500 5337.08 1.26058e-05 1.70343e-07 6.02188e+06 2.75034e+06 10.6222 13.4737 7.17863 1914.04 1.0283e+07 1172.79 1.85888
1.1e+06  1500 5441.43 1.4733e-05 1.73446e-07 5.94805e+06 2.93364e+06 10.4551 13.4608 7.34253 1875.38 1.11536e+07 1179.26 1.82324
1.15e+06  1500 5488.77 1.43407e-05 1.68637e-07 6.11163e+06 2.99952e+06 10.5521 13.5725 7.39244 1862.29 1.20489e+07 1177.09 1.80751
1.2e+06  1500 5535.31 1.39724e-05 1.64115e-07 6.27428e+06 3.06417e+06 10.6466 13.6806 7.44022 1849.75 1.29374e+07 1175.01 1.79231
1.25e+06  1500 5581.08 1.36259e-05 1.59858e-07 6.4359e+06 3.12756e+06 10.7386 13.7853 7.48589 1837.56 1.38185e+07 1173.02 1.77761
1.3e+06  1500 5626.16 1.32994e-05 1.55841e-07 6.59655e+06 3.18977e+06 10.8281 13.8867 7.52962 1825.78 1.46931e+07 1171.1 1.76337
1.35e+06  1500 5670.57 1.29907e-05 1.52043e-07 6.75636e+06 3.25074e+06 10.9155 13.9851 7.57143 1814.34 1.55613e+07 1169.26 1.74956
1.4e+06  1500 5714.32 1.26991e-05 1.48443e-07 6.91538e+06 3.3105e+06 11.0008 14.0806 7.61139 1803.28 1.6423e+07 1167.48 1.73617
1.45e+06  1500 5757.46 1.24226e-05 1.45028e-07 7.07363e+06 3.36911e+06 11.0843 14.1733 7.64965 1792.55 1.72785e+07 1165.76 1.72316
1.5e+06  1500 5800.02 1.21603e-05 1.41781e-07 7.23125e+06 3.42664e+06 11.1659 14.2636 7.68634 1782.18 1.81283e+07 1164.11 1.71051
    1  1600 3122.99 4.14114e-05 1.18339e-06 916501 526836 5.41728 7.19998 4.10726 2538.02 -1.19179e+07 1251.18 3.17676
50001  1600 3393.14 3.10256e-05 8.02214e-07 1.31638e+06 690130 6.22787 8.11808 4.5097 2479.79 -1.04927e+07 1226.28 2.92394
100001  1600 3531.6 2.52554e-05 6.63751e-07 1.57089e+06 767651 6.6687 8.57037 4.66202 2438.72 -9.11366e+06 1212.11 2.8093
150001  1600 3783.88 2.26221e-05 5.02902e-07 2.0657e+06 997369 7.38866 9.47295 5.13404 2386.57 -7.82238e+06 1210.29 2.62191
200001  1600 3959.34 1.86721e-05 4.23534e-07 2.43294e+06 1.1791e+06 7.83821 10.0565 5.45635 2332.17 -6.61848e+06 1198.75 2.50583
250001  1600 4335.92 2.37586e-05 3.57031e-07 2.97124e+06 1.56317e+06 8.27784 10.7977 6.00415 2291.66 -5.46433e+06 1225.14 2.28813
300001  1600 4488.48 2.3358e-05 3.21091e-07 3.2985e+06 1.76459e+06 8.57253 11.2208 6.27006 2255.36 -4.39135e+06 1224.36 2.21032
350001  1600 4558.89 2.19826e-05 3.02066e-07 3.49136e+06 1.84199e+06 8.75111 11.4216 6.3564 2230.04 -3.32675e+06 1218.91 2.17619
400001  1600 4626.34 2.07841e-05 2.85415e-07 3.68169e+06 1.91679e+06 8.92075 11.6113 6.43675 2206.47 -2.27581e+06 1214.14 2.14447
450001  1600 4691.13 1.9729e-05 2.70693e-07 3.86979e+06 1.98927e+06 9.0825 11.7912 6.51191 2184.41 -1.23774e+06 1209.9 2.11484
500001  1600 4753.47 1.87946e-05 2.57572e-07 4.05584e+06 2.05958e+06 9.23702 11.9622 6.58237 2163.7 -212232 1206.1 2.08711
550001  1600 4813.69 1.79577e-05 2.45789e-07 4.24009e+06 2.12798e+06 9.38525 12.1254 6.64881 2144.13 801676 1202.66 2.06101
600001  1600 4871.96 1.72033e-05 2.35139e-07 4.42271e+06 2.19465e+06 9.52779 12.2817 6.71169 2125.62 1.80462e+06 1199.52 2.03635
650001  1600 4928.4 1.65209e-05 2.25459e-07 4.60379e+06 2.25962e+06 9.66503 12.4316 6.77117 2108.05 2.79674e+06 1196.64 2.01304
700001  1600 4983.21 1.58985e-05 2.16619e-07 4.78349e+06 2.32311e+06 9.79751 12.5757 6.82777 2091.31 3.77885e+06 1193.99 1.99089
750000  1600 5036.52 1.53284e-05 2.08507e-07 4.9619e+06 2.38519e+06 9.92565 12.7147 6.88171 2075.31 4.75137e+06 1191.52 1.96981
800000  1600 5088.4 1.4805e-05 2.01036e-07 5.13908e+06 2.44594e+06 10.0497 12.8486 6.93315  2060 5.71442e+06 1189.22 1.94973
850000  1600 5138.99 1.43215e-05 1.94128e-07 5.31513e+06 2.50546e+06 10.1699 12.9781 6.98238 2045.31 6.66867e+06 1187.07 1.93054
900000  1600 5188.38 1.38735e-05 1.8772e-07 5.49012e+06 2.56381e+06 10.2867 13.1035 7.02954 2031.18 7.61446e+06 1185.04 1.91215
950000  1600 5236.62 1.34577e-05 1.81758e-07 5.66407e+06 2.62105e+06 10.4001 13.2249 7.07475 2017.58 8.55182e+06 1183.12 1.89455
1e+06  1600 5283.8 1.30699e-05 1.76196e-07 5.83706e+06 2.67725e+06 10.5105 13.3428 7.1182 2004.45 9.48134e+06 1181.31 1.87763
1.05e+06  1600  5330 1.27071e-05 1.70994e-07 6.00915e+06 2.73246e+06 10.618 13.4572  7.16 1991.76 1.04033e+07 1179.59 1.86135
1.1e+06  1600 5423.21 1.44234e-05 1.72807e-07 5.97725e+06 2.8935e+06 10.4985 13.4668 7.30429 1957.83 1.12814e+07 1185.55 1.82937
1.15e+06  1600 5481.07 1.44738e-05 1.69393e-07 6.09806e+06 2.98256e+06 10.5478 13.5576 7.37668 1940.39 1.21698e+07 1185.05 1.81005
1.2e+06  1600 5527.75 1.41015e-05 1.64822e-07 6.26097e+06 3.04733e+06 10.6426 13.6663 7.42481 1927.86 1.30582e+07 1182.99 1.79476
1.25e+06  1600 5573.66 1.37517e-05 1.60519e-07 6.4229e+06 3.1109e+06 10.7348 13.7715 7.47089 1915.78 1.39396e+07 1181.02 1.77998
1.3e+06  1600 5618.86 1.34219e-05 1.56459e-07 6.58391e+06 3.17329e+06 10.8247 13.8735 7.51503 1904.09 1.48143e+07 1179.13 1.76567
1.35e+06  1600 5663.37 1.31104e-05 1.52622e-07 6.74404e+06 3.23449e+06 10.9125 13.9725 7.55728 1892.75 1.56826e+07 1177.31 1.75178
1.4e+06  1600 5707.24 1.28162e-05 1.48989e-07 6.90334e+06 3.2945e+06 10.9981 14.0685 7.59768 1881.8 1.65445e+07 1175.57 1.73832
1.45e+06  1600 5750.49 1.25374e-05 1.45542e-07 7.06189e+06 3.35337e+06 11.0817 14.1618 7.63638 1871.17 1.74002e+07 1173.89 1.72524
1.5e+06  1600 5793.15 1.22728e-05 1.42266e-07 7.21974e+06 3.41116e+06 11.1636 14.2526 7.6735 1860.85 1.825e+07 1172.28 1.71254
    1  1700 3113.54 4.37302e-05 1.23034e-06 890906 516312 5.34917 7.12208 4.07219 2616.1 -1.17889e+07 1263.7 3.18641
50001  1700 3381.53 3.18742e-05 8.17481e-07 1.29791e+06 677376 6.19453 8.06716 4.47545 2555.78 -1.03671e+07 1233.86 2.93399
100001  1700 3520.09 2.57409e-05 6.74669e-07 1.55035e+06 753746 6.63589 8.51957 4.62719 2513.07 -8.991e+06 1217.82 2.81848
150001  1700 3775.36 2.29592e-05 5.08634e-07 2.04842e+06 983408 7.36599 9.43336 5.10372 2460.29 -7.70064e+06 1215.97 2.62783
200001  1700 3940.89 1.87728e-05 4.30596e-07 2.39476e+06 1.14333e+06 7.79492 9.97191 5.38597 2413.08 -6.48502e+06 1202.99 2.51752
250001  1700 4320.56 2.39538e-05 3.61395e-07 2.94545e+06 1.53467e+06 8.25643 10.7483 5.95967 2368.81 -5.33665e+06 1232.01 2.29627
300001  1700 4477.83 2.3638e-05 3.24059e-07 3.28121e+06 1.74347e+06 8.56018 11.1888 6.23983 2331.17 -4.26616e+06 1231.89 2.21558
350001  1700 4548.71 2.22295e-05 3.04624e-07 3.47458e+06 1.82137e+06 8.73982 11.3918 6.32779 2305.52 -3.20211e+06 1226.13 2.18107
400001  1700 4616.55 2.10045e-05 2.87644e-07 3.66535e+06 1.8966e+06 8.91036 11.5832 6.40954 2281.65 -2.15164e+06 1221.1 2.14902
450001  1700 4681.69 1.99279e-05 2.72656e-07 3.85384e+06 1.96946e+06 9.07289 11.7646 6.48592 2259.35 -1.11399e+06 1216.66 2.11911
500001  1700 4744.35 1.89758e-05 2.59317e-07 4.04024e+06 2.04009e+06 9.2281 11.937 6.55744 2238.41 -88850.2 1212.69 2.09113
550001  1700 4804.85 1.81241e-05 2.47351e-07 4.2248e+06 2.10878e+06 9.37692 12.1014 6.62482 2218.63 924706 1209.12 2.0648
