#IASP91 Kennett & Engdahl 1991 
#Depth(m)	Radius(m)	Vp(m/s)	Vs(m/s)
4.800000e+05	5.891000e+06	9.595200e+03	5.218400e+03
4.900000e+05	5.881000e+06	9.628800e+03	5.239600e+03
5.000000e+05	5.871000e+06	9.662400e+03	5.260800e+03
5.100000e+05	5.861000e+06	9.696000e+03	5.282000e+03
5.200000e+05	5.851000e+06	9.729600e+03	5.303200e+03
5.300000e+05	5.841000e+06	9.763200e+03	5.324400e+03
5.400000e+05	5.831000e+06	9.796800e+03	5.345600e+03
5.500000e+05	5.821000e+06	9.830400e+03	5.366800e+03
5.600000e+05	5.811000e+06	9.864000e+03	5.388000e+03
5.700000e+05	5.801000e+06	9.897600e+03	5.409200e+03
5.800000e+05	5.791000e+06	9.931200e+03	5.430400e+03
5.900000e+05	5.781000e+06	9.964800e+03	5.451600e+03
6.000000e+05	5.771000e+06	9.998400e+03	5.472800e+03
6.100000e+05	5.761000e+06	1.003200e+04	5.494000e+03
6.200000e+05	5.751000e+06	1.006560e+04	5.515200e+03
6.300000e+05	5.741000e+06	1.009920e+04	5.536400e+03
6.400000e+05	5.731000e+06	1.013280e+04	5.557600e+03
6.500000e+05	5.721000e+06	1.016640e+04	5.578800e+03
6.600000e+05	5.711000e+06	1.020000e+04	5.600000e+03
6.600000e+05	5.711000e+06	1.079000e+04	5.950000e+03
6.700000e+05	5.701000e+06	1.081660e+04	5.975900e+03
6.800000e+05	5.691000e+06	1.084320e+04	6.001900e+03
6.900000e+05	5.681000e+06	1.086970e+04	6.027800e+03
7.000000e+05	5.671000e+06	1.089630e+04	6.053800e+03
7.100000e+05	5.661000e+06	1.092290e+04	6.079700e+03
7.200000e+05	5.651000e+06	1.094950e+04	6.105700e+03
7.300000e+05	5.641000e+06	1.097610e+04	6.131600e+03
7.400000e+05	5.631000e+06	1.100260e+04	6.157600e+03
7.500000e+05	5.621000e+06	1.102920e+04	6.183500e+03
7.600000e+05	5.611000e+06	1.105580e+04	6.209500e+03
7.600000e+05	5.611000e+06	1.105580e+04	6.209500e+03
7.700000e+05	5.601000e+06	1.107380e+04	6.217200e+03
7.800000e+05	5.591000e+06	1.109170e+04	6.224900e+03
7.900000e+05	5.581000e+06	1.110950e+04	6.232600e+03
8.000000e+05	5.571000e+06	1.112720e+04	6.240200e+03
9.000000e+05	5.471000e+06	1.129970e+04	6.313800e+03
1.000000e+06	5.371000e+06	1.146400e+04	6.383300e+03
1.100000e+06	5.271000e+06	1.162080e+04	6.448900e+03
1.200000e+06	5.171000e+06	1.177070e+04	6.511000e+03
1.300000e+06	5.071000e+06	1.191420e+04	6.570000e+03
1.400000e+06	4.971000e+06	1.205210e+04	6.626000e+03
1.500000e+06	4.871000e+06	1.218490e+04	6.679600e+03
2.000000e+06	4.371000e+06	1.279440e+04	6.921000e+03
2.500000e+06	3.871000e+06	1.336970e+04	7.148400e+03
2.700000e+06	3.671000e+06	1.360760e+04	7.244500e+03
2.740000e+06	3.631000e+06	1.365640e+04	7.264500e+03
2.740000e+06	3.631000e+06	1.365640e+04	7.264500e+03
2.750000e+06	3.621000e+06	1.365870e+04	7.267000e+03
2.800000e+06	3.571000e+06	1.367030e+04	7.279400e+03
2.850000e+06	3.521000e+06	1.368180e+04	7.291800e+03
2.889000e+06	3.482000e+06	1.369080e+04	7.301500e+03
2.889000e+06	3.482000e+06	8.008800e+03	0.000000e+00
2.900000e+06	3.471000e+06	8.028000e+03	0.000000e+00
3.000000e+06	3.371000e+06	8.199500e+03	0.000000e+00
3.100000e+06	3.271000e+06	8.364200e+03	0.000000e+00
3.200000e+06	3.171000e+06	8.522200e+03	0.000000e+00
3.300000e+06	3.071000e+06	8.673500e+03	0.000000e+00
3.400000e+06	2.971000e+06	8.818000e+03	0.000000e+00
3.500000e+06	2.871000e+06	8.955800e+03	0.000000e+00
4.000000e+06	2.371000e+06	9.543700e+03	0.000000e+00
4.500000e+06	1.871000e+06	9.963300e+03	0.000000e+00
5.153900e+06	1.217100e+06	1.025780e+04	0.000000e+00
5.153900e+06	1.217100e+06	1.109140e+04	3.438500e+03
5.500000e+06	8.710000e+05	1.116440e+04	3.500000e+03
6.000000e+06	3.710000e+05	1.122700e+04	3.552800e+03
6.371000e+06	0.000000e+00	1.124090e+04	3.564500e+03
