 PREM NO OCEAN MODEL: (    0.0000    0.000) anisotropic case
1106984. 12821.67 11070.07  3533.53   1327.7     84.6 11070.07  3533.53  1.00000
1145156. 12802.96 11056.59  3524.11   1327.7     84.6 11056.59  3524.11  1.00000
1183328. 12783.60 11042.65  3514.37   1327.7     84.6 11042.65  3514.37  1.00000
1221500. 12763.61 11028.26  3504.31   1327.7     84.6 11028.26  3504.31  1.00000
1221500. 12166.33 10355.72     0.00  57823.0      0.0 10355.72     0.00  1.00000
1292078. 12129.26 10314.43     0.00  57823.0      0.0 10314.43     0.00  1.00000
1362656. 12090.47 10272.30     0.00  57823.0      0.0 10272.30     0.00  1.00000
1433234. 12049.91 10229.21     0.00  57823.0      0.0 10229.21     0.00  1.00000
1503812. 12007.54 10185.05     0.00  57823.0      0.0 10185.05     0.00  1.00000
1574391. 11963.32 10139.71     0.00  57823.0      0.0 10139.71     0.00  1.00000
1644969. 11917.20 10093.08     0.00  57823.0      0.0 10093.08     0.00  1.00000
1715547. 11869.14 10045.05     0.00  57823.0      0.0 10045.05     0.00  1.00000
1786125. 11819.08  9995.51     0.00  57823.0      0.0  9995.51     0.00  1.00000
1856703. 11766.99  9944.34     0.00  57823.0      0.0  9944.34     0.00  1.00000
1927281. 11712.82  9891.43     0.00  57823.0      0.0  9891.43     0.00  1.00000
1997859. 11656.52  9836.69     0.00  57823.0      0.0  9836.69     0.00  1.00000
2068438. 11598.05  9779.98     0.00  57823.0      0.0  9779.98     0.00  1.00000
2139016. 11537.37  9721.22     0.00  57823.0      0.0  9721.22     0.00  1.00000
2209594. 11474.42  9660.27     0.00  57823.0      0.0  9660.27     0.00  1.00000
2280172. 11409.17  9597.04     0.00  57823.0      0.0  9597.04     0.00  1.00000
2350750. 11341.57  9531.41     0.00  57823.0      0.0  9531.41     0.00  1.00000
2421328. 11271.58  9463.27     0.00  57823.0      0.0  9463.27     0.00  1.00000
2491906. 11199.14  9392.50     0.00  57823.0      0.0  9392.50     0.00  1.00000
2562484. 11124.21  9319.01     0.00  57823.0      0.0  9319.01     0.00  1.00000
2633062. 11046.76  9242.68     0.00  57823.0      0.0  9242.68     0.00  1.00000
2703641. 10966.73  9163.40     0.00  57823.0      0.0  9163.40     0.00  1.00000
2774219. 10884.07  9081.05     0.00  57823.0      0.0  9081.05     0.00  1.00000
2844797. 10798.75  8995.53     0.00  57823.0      0.0  8995.53     0.00  1.00000
2915375. 10710.72  8906.73     0.00  57823.0      0.0  8906.73     0.00  1.00000
2985953. 10619.93  8814.53     0.00  57823.0      0.0  8814.53     0.00  1.00000
3056531. 10526.34  8718.83     0.00  57823.0      0.0  8718.83     0.00  1.00000
3127109. 10429.91  8619.51     0.00  57823.0      0.0  8619.51     0.00  1.00000
3197688. 10330.58  8516.46     0.00  57823.0      0.0  8516.46     0.00  1.00000
3268266. 10228.31  8409.58     0.00  57823.0      0.0  8409.58     0.00  1.00000
3338844. 10123.06  8298.74     0.00  57823.0      0.0  8298.74     0.00  1.00000
3409422. 10014.79  8183.85     0.00  57823.0      0.0  8183.85     0.00  1.00000
3480000.  9903.44  8064.79     0.00  57823.0      0.0  8064.79     0.00  1.00000
3480000.  5566.46 13716.62  7264.65  57823.0    312.0 13716.62  7264.65  1.00000
3517500.  5547.67 13707.45  7265.03  57823.0    312.0 13707.45  7265.03  1.00000
3555000.  5528.91 13698.36  7265.37  57823.0    312.0 13698.36  7265.37  1.00000
3592500.  5510.18 13689.36  7265.69  57823.0    312.0 13689.36  7265.69  1.00000
3630000.  5491.48 13680.44  7265.97  57823.0    312.0 13680.44  7265.97  1.00000
3630000.  5491.48 13680.42  7265.93  57823.0    312.0 13680.42  7265.93  1.00000
3666482.  5473.29 13636.25  7249.23  57823.0    312.0 13636.25  7249.23  1.00000
3702963.  5455.13 13592.44  7232.63  57823.0    312.0 13592.44  7232.63  1.00000
3739444.  5436.97 13548.96  7216.12  57823.0    312.0 13548.96  7216.12  1.00000
3775926.  5418.82 13505.78  7199.68  57823.0    312.0 13505.78  7199.68  1.00000
3812407.  5400.67 13462.87  7183.30  57823.0    312.0 13462.87  7183.30  1.00000
3848889.  5382.52 13420.19  7166.98  57823.0    312.0 13420.19  7166.98  1.00000
3885370.  5364.37 13377.73  7150.70  57823.0    312.0 13377.73  7150.70  1.00000
3921852.  5346.21 13335.45  7134.44  57823.0    312.0 13335.45  7134.44  1.00000
3958333.  5328.04 13293.32  7118.21  57823.0    312.0 13293.32  7118.21  1.00000
3994815.  5309.85 13251.30  7102.00  57823.0    312.0 13251.30  7102.00  1.00000
4031296.  5291.65 13209.38  7085.78  57823.0    312.0 13209.38  7085.78  1.00000
4067778.  5273.43 13167.51  7069.55  57823.0    312.0 13167.51  7069.55  1.00000
4104259.  5255.18 13125.68  7053.30  57823.0    312.0 13125.68  7053.30  1.00000
4140741.  5236.91 13083.84  7037.02  57823.0    312.0 13083.84  7037.02  1.00000
4177222.  5218.60 13041.98  7020.70  57823.0    312.0 13041.98  7020.70  1.00000
4213704.  5200.26 13000.05  7004.32  57823.0    312.0 13000.05  7004.32  1.00000
4250185.  5181.88 12958.04  6987.89  57823.0    312.0 12958.04  6987.89  1.00000
4286667.  5163.46 12915.90  6971.38  57823.0    312.0 12915.90  6971.38  1.00000
4323148.  5145.00 12873.61  6954.79  57823.0    312.0 12873.61  6954.79  1.00000
4359630.  5126.48 12831.15  6938.10  57823.0    312.0 12831.15  6938.10  1.00000
4396111.  5107.92 12788.47  6921.31  57823.0    312.0 12788.47  6921.31  1.00000
4432593.  5089.29 12745.55  6904.41  57823.0    312.0 12745.55  6904.41  1.00000
4469074.  5070.61 12702.36  6887.38  57823.0    312.0 12702.36  6887.38  1.00000
4505556.  5051.87 12658.87  6870.21  57823.0    312.0 12658.87  6870.21  1.00000
4542037.  5033.06 12615.05  6852.90  57823.0    312.0 12615.05  6852.90  1.00000
4578518.  5014.18 12570.87  6835.43  57823.0    312.0 12570.87  6835.43  1.00000
4615000.  4995.22 12526.30  6817.80  57823.0    312.0 12526.30  6817.80  1.00000
4651482.  4976.19 12481.31  6799.99  57823.0    312.0 12481.31  6799.99  1.00000
4687963.  4957.08 12435.87  6781.99  57823.0    312.0 12435.87  6781.99  1.00000
4724444.  4937.89 12389.94  6763.79  57823.0    312.0 12389.94  6763.79  1.00000
4760926.  4918.61 12343.51  6745.38  57823.0    312.0 12343.51  6745.38  1.00000
4797407.  4899.24 12296.54  6726.76  57823.0    312.0 12296.54  6726.76  1.00000
4833889.  4879.78 12248.99  6707.90  57823.0    312.0 12248.99  6707.90  1.00000
4870370.  4860.21 12200.85  6688.80  57823.0    312.0 12200.85  6688.80  1.00000
4906852.  4840.55 12152.07  6669.46  57823.0    312.0 12152.07  6669.46  1.00000
4943333.  4820.79 12102.63  6649.85  57823.0    312.0 12102.63  6649.85  1.00000
4979815.  4800.91 12052.51  6629.97  57823.0    312.0 12052.51  6629.97  1.00000
5016296.  4780.93 12001.66  6609.81  57823.0    312.0 12001.66  6609.81  1.00000
5052778.  4760.83 11950.06  6589.36  57823.0    312.0 11950.06  6589.36  1.00000
5089259.  4740.61 11897.68  6568.61  57823.0    312.0 11897.68  6568.61  1.00000
5125741.  4720.27 11844.49  6547.54  57823.0    312.0 11844.49  6547.54  1.00000
5162222.  4699.80 11790.46  6526.15  57823.0    312.0 11790.46  6526.15  1.00000
5198704.  4679.21 11735.56  6504.42  57823.0    312.0 11735.56  6504.42  1.00000
5235185.  4658.48 11679.76  6482.35  57823.0    312.0 11679.76  6482.35  1.00000
5271667.  4637.62 11623.02  6459.92  57823.0    312.0 11623.02  6459.92  1.00000
5308148.  4616.62 11565.33  6437.13  57823.0    312.0 11565.33  6437.13  1.00000
5344630.  4595.48 11506.65  6413.97  57823.0    312.0 11506.65  6413.97  1.00000
5381111.  4574.19 11446.94  6390.41  57823.0    312.0 11446.94  6390.41  1.00000
5417593.  4552.75 11386.18  6366.46  57823.0    312.0 11386.18  6366.46  1.00000
5454074.  4531.16 11324.35  6342.10  57823.0    312.0 11324.35  6342.10  1.00000
5490556.  4509.42 11261.40  6317.33  57823.0    312.0 11261.40  6317.33  1.00000
5527037.  4487.51 11197.31  6292.13  57823.0    312.0 11197.31  6292.13  1.00000
5563518.  4465.44 11132.05  6266.48  57823.0    312.0 11132.05  6266.48  1.00000
5600000.  4443.20 11065.59  6240.39  57823.0    312.0 11065.59  6240.39  1.00000
5600000.  4443.20 11065.60  6240.54  57823.0    312.0 11065.60  6240.54  1.00000
5633667.  4422.53 10960.91  6142.04  57823.0    312.0 10960.91  6142.04  1.00000
5667333.  4401.71 10856.15  6043.57  57823.0    312.0 10856.15  6043.57  1.00000
5701000.  4380.74 10751.32  5945.13  57823.0    312.0 10751.32  5945.13  1.00000
5701000.  3992.12 10266.17  5570.21  57823.0    143.0 10266.17  5570.21  1.00000
5771000.  3975.82 10157.76  5516.02  57823.0    143.0 10157.76  5516.02  1.00000
5771000.  3975.82 10157.83  5515.93  57823.0    143.0 10157.43  5515.93  1.00000
5804333.  3933.81  9987.17  5418.69  57823.0    143.0  9986.77  5418.69  1.00000
5837667.  3891.80  9816.52  5321.45  57823.0    143.0  9816.12  5321.45  1.00000
5871000.  3849.78  9645.87  5224.21  57823.0    143.0  9645.47  5224.21  1.00000
5904333.  3807.77  9475.22  5126.97  57823.0    143.0  9474.82  5126.97  1.00000
5937667.  3765.76  9304.57  5029.73  57823.0    143.0  9304.17  5029.73  1.00000
5971000.  3723.75  9133.92  4932.49  57823.0    143.0  9133.52  4932.49  1.00000
5971000.  3543.26  8905.24  4769.90  57823.0    143.0  8905.24  4769.90  1.00000
5993500.  3529.83  8861.96  4754.15  57823.0    143.0  8861.96  4754.15  1.00000
6016000.  3516.39  8818.67  4738.40  57823.0    143.0  8818.67  4738.40  1.00000
6038500.  3502.96  8775.38  4722.65  57823.0    143.0  8775.38  4722.65  1.00000
6061000.  3489.52  8732.10  4706.90  57823.0    143.0  8732.10  4706.90  1.00000
6083500.  3476.08  8688.81  4691.15  57823.0    143.0  8688.81  4691.15  1.00000
6106000.  3462.65  8645.52  4675.40  57823.0    143.0  8645.52  4675.40  1.00000
6128500.  3449.21  8602.24  4659.65  57823.0    143.0  8602.24  4659.65  1.00000
6151000.  3435.77  8558.95  4643.90  57823.0    143.0  8558.95  4643.90  1.00000
6151000.  3359.49  7800.45  4441.09  57823.0     80.0  8048.56  4436.26  0.97646
6179000.  3362.53  7832.17  4434.63  57823.0     80.0  8068.85  4461.39  0.96557
6207000.  3365.58  7863.90  4428.18  57823.0     80.0  8089.15  4486.52  0.95468
6235000.  3368.62  7895.62  4421.73  57823.0     80.0  8109.44  4511.65  0.94379
6263000.  3371.66  7927.34  4415.28  57823.0     80.0  8129.73  4536.78  0.93290
6291000.  3374.71  7959.06  4408.83  57823.0     80.0  8150.02  4561.90  0.92201
6291000.  3374.71  7959.06  4408.83  57823.0    600.0  8150.02  4561.99  0.92201
6318800.  3377.73  7990.56  4402.43  57823.0    600.0  8170.17  4586.94  0.91120
6346600.  3380.75  8022.06  4396.02  57823.0    600.0  8190.32  4611.89  0.90039
6346600.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6347000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6348000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6349000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6350000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6351000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6352000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6353000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6354000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6355000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6356000.  2900.00  6800.00  3900.00  57823.0    600.0  6800.00  3900.00  1.00000
6356000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6357000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6358000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6359000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6360000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6361000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6362000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6363000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6364000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6365000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6366000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6367000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6368000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6368000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6369000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6370000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
6371000.  2600.00  5800.00  3200.00  57823.0    600.0  5800.00  3200.00  1.00000
