#AK135 Kennett, Engdahl & Buland (1995) 
#Depth(m) 	 Radius(m) 	 Density(g/m^3) 	 Vp(m/s) 	 Vs(m/s) 	 Qmu 	 Qk
9.580000e+05	5.413000e+06	4.565400e+03	1.138970e+04	6.351900e+03	5.154600e+02	1.243020e+03
1.007500e+06	5.363500e+06	4.592600e+03	1.147040e+04	6.386000e+03	5.102000e+02	1.234540e+03
1.057000e+06	5.314000e+06	4.619800e+03	1.154930e+04	6.418200e+03	5.050500e+02	1.226520e+03
1.106500e+06	5.264500e+06	4.646700e+03	1.162650e+04	6.451400e+03	5.000000e+02	1.217910e+03
1.156000e+06	5.215000e+06	4.673500e+03	1.170200e+04	6.482200e+03	4.950500e+02	1.210020e+03
1.205500e+06	5.165500e+06	4.700100e+03	1.177680e+04	6.513100e+03	4.902000e+02	1.202040e+03
1.255000e+06	5.116000e+06	4.726600e+03	1.184910e+04	6.543100e+03	4.854400e+02	1.193990e+03
1.304500e+06	5.066500e+06	4.752800e+03	1.192080e+04	6.572800e+03	4.807700e+02	1.186060e+03
1.354000e+06	5.017000e+06	4.779000e+03	1.198910e+04	6.600900e+03	4.761900e+02	1.178190e+03
1.403500e+06	4.967500e+06	4.805000e+03	1.205710e+04	6.628500e+03	4.717000e+02	1.170530e+03
1.453000e+06	4.918000e+06	4.830700e+03	1.212470e+04	6.655400e+03	4.672900e+02	1.163160e+03
1.502500e+06	4.868500e+06	4.856200e+03	1.219120e+04	6.681300e+03	4.629600e+02	1.156040e+03
1.552000e+06	4.819000e+06	4.881700e+03	1.225580e+04	6.707000e+03	4.587200e+02	1.148760e+03
1.601500e+06	4.769500e+06	4.906900e+03	1.231810e+04	6.732300e+03	4.545500e+02	1.141320e+03
1.651000e+06	4.720000e+06	4.932100e+03	1.238130e+04	6.757900e+03	4.504500e+02	1.134010e+03
1.700500e+06	4.670500e+06	4.957000e+03	1.244270e+04	6.782000e+03	4.464300e+02	1.127020e+03
1.750000e+06	4.621000e+06	4.981700e+03	1.250300e+04	6.805600e+03	4.424800e+02	1.120090e+03
1.799500e+06	4.571500e+06	5.006200e+03	1.256380e+04	6.828900e+03	4.366800e+02	1.108580e+03
1.849000e+06	4.522000e+06	5.030600e+03	1.262260e+04	6.851700e+03	4.310300e+02	1.097160e+03
1.898500e+06	4.472500e+06	5.054800e+03	1.268070e+04	6.874300e+03	4.255300e+02	1.085970e+03
1.948000e+06	4.423000e+06	5.078900e+03	1.273840e+04	6.897200e+03	4.184100e+02	1.070380e+03
1.997500e+06	4.373500e+06	5.102700e+03	1.279560e+04	6.919400e+03	4.149400e+02	1.064230e+03
2.047000e+06	4.324000e+06	5.126400e+03	1.285240e+04	6.941600e+03	4.115200e+02	1.058030e+03
2.096500e+06	4.274500e+06	5.149900e+03	1.290930e+04	6.962500e+03	4.065000e+02	1.048090e+03
2.146000e+06	4.225000e+06	5.173200e+03	1.296630e+04	6.985200e+03	4.032300e+02	1.042070e+03
2.195500e+06	4.175500e+06	5.196300e+03	1.302260e+04	7.006900e+03	3.984100e+02	1.032140e+03
2.245000e+06	4.126000e+06	5.219200e+03	1.307860e+04	7.028600e+03	3.921600e+02	1.018380e+03
2.294500e+06	4.076500e+06	5.242000e+03	1.313370e+04	7.050400e+03	3.876000e+02	1.008790e+03
2.344000e+06	4.027000e+06	5.264600e+03	1.318950e+04	7.072200e+03	3.831400e+02	9.994400e+02
2.393500e+06	3.977500e+06	5.287000e+03	1.324650e+04	7.093200e+03	3.787900e+02	9.907700e+02
2.443000e+06	3.928000e+06	5.309200e+03	1.330170e+04	7.114400e+03	3.759400e+02	9.856300e+02
2.492500e+06	3.878500e+06	5.331300e+03	1.335840e+04	7.136800e+03	3.717500e+02	9.768100e+02
2.542000e+06	3.829000e+06	5.353100e+03	1.341560e+04	7.158400e+03	3.676500e+02	9.684600e+02
2.591500e+06	3.779500e+06	5.374800e+03	1.347410e+04	7.180400e+03	3.636400e+02	9.603600e+02
2.640000e+06	3.731000e+06	5.396200e+03	1.353110e+04	7.203100e+03	3.597100e+02	9.520000e+02
2.690000e+06	3.681000e+06	5.417600e+03	1.358990e+04	7.225300e+03	3.546100e+02	9.408800e+02
2.740000e+06	3.631000e+06	5.438700e+03	1.364980e+04	7.248500e+03	3.508800e+02	9.332100e+02
2.740000e+06	3.631000e+06	5.693400e+03	1.364980e+04	7.248500e+03	2.717400e+02	7.227300e+02
2.789670e+06	3.581330e+06	5.719600e+03	1.365330e+04	7.259300e+03	2.739700e+02	7.268700e+02
2.839330e+06	3.531670e+06	5.745800e+03	1.365700e+04	7.270000e+03	2.739700e+02	7.251100e+02
2.891500e+06	3.479500e+06	5.772100e+03	1.366010e+04	7.281700e+03	2.739700e+02	7.231200e+02
2.891500e+06	3.479500e+06	9.914500e+03	8.000000e+03	0.000000e+00	0.000000e+00	5.782200e+04
2.939330e+06	3.431670e+06	9.994200e+03	8.038200e+03	0.000000e+00	0.000000e+00	5.782200e+04
2.989660e+06	3.381340e+06	1.007220e+04	8.128300e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.039990e+06	3.331010e+06	1.014850e+04	8.221300e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.090320e+06	3.280680e+06	1.022330e+04	8.312200e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.140660e+06	3.230340e+06	1.029640e+04	8.400100e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.190990e+06	3.180010e+06	1.036790e+04	8.486100e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.241320e+06	3.129680e+06	1.043780e+04	8.569200e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.291650e+06	3.079350e+06	1.050620e+04	8.649600e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.341980e+06	3.029020e+06	1.057310e+04	8.728300e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.392310e+06	2.978690e+06	1.063850e+04	8.803600e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.442640e+06	2.928360e+06	1.070230e+04	8.876100e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.492970e+06	2.878030e+06	1.076470e+04	8.946100e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.543300e+06	2.827700e+06	1.082570e+04	9.013800e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.593640e+06	2.777360e+06	1.088520e+04	9.079200e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.643970e+06	2.727030e+06	1.094340e+04	9.142600e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.694300e+06	2.676700e+06	1.100010e+04	9.204200e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.744630e+06	2.626370e+06	1.105550e+04	9.263400e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.794960e+06	2.576040e+06	1.110950e+04	9.320500e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.845290e+06	2.525710e+06	1.116230e+04	9.376000e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.895620e+06	2.475380e+06	1.121370e+04	9.429700e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.945950e+06	2.425050e+06	1.126390e+04	9.481400e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.996280e+06	2.374720e+06	1.131270e+04	9.530600e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.046620e+06	2.324380e+06	1.136040e+04	9.577700e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.096950e+06	2.274050e+06	1.140690e+04	9.623200e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.147280e+06	2.223720e+06	1.145210e+04	9.667300e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.197610e+06	2.173390e+06	1.149620e+04	9.710000e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.247940e+06	2.123060e+06	1.153910e+04	9.751300e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.298270e+06	2.072730e+06	1.158090e+04	9.791400e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.348600e+06	2.022400e+06	1.162160e+04	9.830400e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.398930e+06	1.972070e+06	1.166120e+04	9.868200e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.449260e+06	1.921740e+06	1.169980e+04	9.905100e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.499600e+06	1.871400e+06	1.173730e+04	9.941000e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.549930e+06	1.821070e+06	1.177370e+04	9.976100e+03	0.000000e+00	0.000000e+00	5.782200e+04
4.600260e+06	1.770740e+06	1.180920e+04	1.001030e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.650590e+06	1.720410e+06	1.184370e+04	1.004390e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.700920e+06	1.670080e+06	1.187720e+04	1.007680e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.751250e+06	1.619750e+06	1.190980e+04	1.010950e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.801580e+06	1.569420e+06	1.194140e+04	1.014150e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.851910e+06	1.519090e+06	1.197220e+04	1.017390e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.902240e+06	1.468760e+06	1.200010e+04	1.020490e+04	0.000000e+00	0.000000e+00	5.782200e+04
4.952580e+06	1.418420e+06	1.203110e+04	1.023290e+04	0.000000e+00	0.000000e+00	5.782200e+04
5.002910e+06	1.368090e+06	1.205930e+04	1.025650e+04	0.000000e+00	0.000000e+00	5.782200e+04
5.053240e+06	1.317760e+06	1.208670e+04	1.027450e+04	0.000000e+00	0.000000e+00	5.782200e+04
5.103570e+06	1.267430e+06	1.211330e+04	1.028540e+04	0.000000e+00	0.000000e+00	5.782200e+04
5.153500e+06	1.217500e+06	1.213910e+04	1.028900e+04	0.000000e+00	0.000000e+00	5.782200e+04
5.153500e+06	1.217500e+06	1.270370e+04	1.104270e+04	3.504300e+03	8.503000e+01	6.332600e+02
5.204610e+06	1.166390e+06	1.272890e+04	1.105850e+04	3.518700e+03	8.503000e+01	6.298900e+02
5.255320e+06	1.115680e+06	1.275300e+04	1.107180e+04	3.531400e+03	8.503000e+01	6.268700e+02
5.306040e+06	1.064960e+06	1.277600e+04	1.108500e+04	3.543500e+03	8.503000e+01	6.240800e+02
5.356750e+06	1.014250e+06	1.279800e+04	1.109830e+04	3.555100e+03	8.503000e+01	6.215000e+02
5.407460e+06	9.635400e+05	1.281880e+04	1.111660e+04	3.566100e+03	8.503000e+01	6.197100e+02
5.458170e+06	9.128300e+05	1.283870e+04	1.113160e+04	3.576500e+03	8.503000e+01	6.177800e+02
5.508890e+06	8.621100e+05	1.285740e+04	1.114570e+04	3.586400e+03	8.503000e+01	6.159300e+02
5.559600e+06	8.114000e+05	1.287510e+04	1.115900e+04	3.595700e+03	8.503000e+01	6.142100e+02
5.610310e+06	7.606900e+05	1.289170e+04	1.117150e+04	3.604400e+03	8.503000e+01	6.126200e+02
5.661020e+06	7.099800e+05	1.290720e+04	1.118320e+04	3.612600e+03	8.503000e+01	6.111200e+02
5.711740e+06	6.592600e+05	1.292170e+04	1.119410e+04	3.620200e+03	8.503000e+01	6.097400e+02
5.762450e+06	6.085500e+05	1.293510e+04	1.120410e+04	3.627200e+03	8.503000e+01	6.084800e+02
5.813160e+06	5.578400e+05	1.294740e+04	1.121340e+04	3.633700e+03	8.503000e+01	6.073100e+02
5.863870e+06	5.071300e+05	1.295860e+04	1.122190e+04	3.639600e+03	8.503000e+01	6.062600e+02
5.914590e+06	4.564100e+05	1.296880e+04	1.122950e+04	3.645000e+03	8.503000e+01	6.052800e+02
5.965300e+06	4.057000e+05	1.297790e+04	1.123640e+04	3.649800e+03	8.503000e+01	6.044400e+02
6.016010e+06	3.549900e+05	1.298590e+04	1.124240e+04	3.654000e+03	8.503000e+01	6.036900e+02
6.066720e+06	3.042800e+05	1.299290e+04	1.124770e+04	3.657700e+03	8.503000e+01	6.030400e+02
6.117440e+06	2.535600e+05	1.299880e+04	1.125210e+04	3.660800e+03	8.503000e+01	6.024900e+02
6.168150e+06	2.028500e+05	1.300360e+04	1.125570e+04	3.663300e+03	8.503000e+01	6.020500e+02
6.218860e+06	1.521400e+05	1.300740e+04	1.125860e+04	3.665300e+03	8.503000e+01	6.017000e+02
6.269570e+06	1.014300e+05	1.301000e+04	1.126060e+04	3.666700e+03	8.503000e+01	6.014600e+02
6.320290e+06	5.071000e+04	1.301170e+04	1.126180e+04	3.667500e+03	8.503000e+01	6.013200e+02
6.371000e+06	0.000000e+00	1.301220e+04	1.126220e+04	3.667800e+03	8.503000e+01	6.012700e+02
