											
# This paper was almost solely studying stv. 											
# Just a few post-stv data points, not in this table											
# (see their Fig 2)											
# Data Number											
# Analysis	T	P	    P_err	a	    a_err	c	    c_err	V	    V_err	Vau	    Vau_err
915008	900	    44.5	0.2     4.0095	0.0003	2.601	0.0005	41.81	0.02	58.17	0.02
915009	700	    43.9	0.2	    4.0079	0.0002	2.5993	0.0004	41.75	0.02	58.07	0.02
915010	500	    43.3	0.2	    4.0064	0.0004	2.5988	0.0008	41.71	0.04	57.97	0.04
915011	300	    42.5	0.4	    4.0058	0.0003	2.5977	0.0005	41.68	0.02	57.89	0.05
941009	1700	48.1	0.3	    4.01369	0.0001	2.60407	0.0001	41.951	0.014	58.41	0.02
941010	1500	47.8	0.4	    4.01017	0.0001	2.60158	0.0001	41.837	0.014	58.26	0.03
941011	1300	47.4	0.2 	4.0063	0.0003	2.5999	0.0006	41.73	0.03	58.12	0.04
941012	1100	47.3	0.2	    4.0036	0.0002	2.5977	0.0004	41.64	0.02	57.94	0.02
941013	900	    47.1	0.13	4.0004	0.0003	2.5954	0.0005	41.54	0.02	57.78	0.02
941014	700	    47.1	0.2     3.9972	0.0004	2.5939	0.0006	41.45	0.03	57.6	0.03
941015	500	    46.6	0.2	    3.9957	0.0004	2.5924	0.0006	41.39	0.03	57.48	0.02
941016	300	    46.16	0.12	3.9948	0.0003	2.5916	0.0006	41.36	0.03	57.373	0.01
922006	1300	54.4	0.3	    3.9863	0.0004	2.5901	0.0007	41.16	0.03	57.1	0.04
922007	1100	54.5	0.3	    3.9833	0.0004	2.5877	0.0007	41.06	0.03	56.91	0.03
922008	900	    54.4	0.2	    3.9801	0.0007	2.5857	0.0012	40.96	0.06	56.76	0.03
922009	700	    54	    0.3	    3.9781	0.0004	2.5839	0.0006	40.89	0.03	56.64	0.02
922010	500	    53.7	0.4	    3.9758	0.0007	2.5822	0.0013	40.82	0.06	56.53	0.03
922011	300	    53.4	0.4	    3.975	0.0007	2.5819	0.0012	40.8	0.05	56.41	0.03
