name formula F_0 err_F_0 V_0 err_V_0 K_0 err_K_0 Kprime_0 err_K_prime_0 Debye_0 err_Debye_0 grueneisen_0 err_grueneisen_0 q_0 err_q_0 G_0 err_G_0 Gprime_0 err_Gprime_0 eta_s_0 err_eta_s_0  
HP_Clinoenstatite Mg2Si2O6 -2905 3 60.76 0 116 1 6.2 0.3 824   7 1.12 0.05 0.2 0.5  88 1 1.8 0.1 2.1   0.5
HP_Clinoferrosilite Fe2Si2O6 -2222 4 63.85 0 116 10 6.2 1 692 11 1.12 0.3 0.2 1  71 10 1.8 0.5 0.8 1  
Ca_Perovskite CaSiO3 -1463 8 27.45 0 236 4 3.9 0.2 796 44 1.89 0.07 0.9 1.6 157 12 2.2   0.5 1.3 1 
Mg_Akimotoite MgSiO3 -1410 2 26.35 0 211 4 5.6 0.8 934 12 1.19 0.13 2.3 0.8 132   8 1.6   0.5 2.8 1
Fe_Akimotoite FeSiO3 -1068 21 26.85 0 211 10 5.6 1 888 120 1.19 0.3 2.3 1 150 10 1.6 0.5 3.5 1  
Corundum AlAlO3 -1582 1 25.58 0 253 5 4.3 0.2 933   3 1.32 0.04 1.3 0.2 163   2 1.6 0.1 2.8 0.2
Pyrope Mg3Al2Si3O12 -5936 10 113.08 0 170 2 4.1 0.3 823   4 1.01 0.06 1.4 0.5  94 2 1.4 0.2 1.0   0.3
Almandine Fe3Al2Si3O12 -4935 29 115.43 0 174 2 4.9 0.2 741   5 1.06 0.06 1.4 1  96 1 1.4 0.1 2.1 1 
Grossular Ca3Al2Si3O12 -6278 11 125.12 0 167 1 3.9 0.2 823   2 1.05 0.06 1.9 0.2 109 4 1.2 0.1 2.4   0.1
Mg_Majorite Mg4Si4O12 -5691 10 114.32 0 165 3 4.2 0.3 822   4 0.98 0.07 1.5 0.5  85 2 1.4 0.2 1.0   0.3
Jd_Majorite Na2Al2Si4O12 -5519 14 110.94 0 177 7 4.1 1 896 18 1.01 0.3 1.4 1 125 4 1.4 0.5 3.3 1  
Quartz SiO2 -859 1 23.67 0 50 1 4.3 0.1 816 31 0.00 0.05 1.0 1  45 1 1.0 0.1 2.4 1  
Coesite SiO2 -855 1 20.66 0 114 1 4.0 1 857   9 0.39 0.05 1.0 1  62 1 1.2 0.5 2.4 1 
Stishovite SiO2 -819 1 14.02 0 314 8 3.8 0.1 1108 13 1.37 0.17 2.8 2.2 220 12 1.9 0.1 4.6 1  
Seifertite SiO2 -794 2 13.67 0 328 2 4.0 0.1 1141 16 1.37 0.3 2.8 1 227 2 1.8 0.1 5.0 1  
Mg_Perovskite MgSiO3 -1368 1 24.45 0 251 3 4.1 0.1 905   5 1.57 0.05 1.1 0.3 173 2 1.7 0 2.6   0.3
Fe_Perovskite FeSiO3 -1041 6 25.49 0 272 40 4.1 1 871 26 1.57 0.3 1.1 1 133 40 1.4 0 2.3 1  
Al_perovskite AlAlO3 -1534 2 24.94 0 258 10 4.1 0.5 886   7 1.57 0.3 1.1 1 171 10 1.5 0.1 2.5   0.5
Mg_Post_Perovskite MgSiO3 -1348 3 24.42 0 231 1 4.0 0.1 855   7 1.89 0.03 1.1 0.1 150 4 2.0 0.1 1.2   0.2
Fe_Post_Perovskite FeSiO3 -982 21 25.46 0 231 10 4.0 1 782 52 1.89 0.3 1.1 1 129 5 1.4 0.1 1.4 1  
Al_Post_Perovskite AlAlO3 -1378 4 23.85 0 249 20 4.0 0.1 762   9 1.65 0.02 1.1 1  92 10 1.8 0.1 2.8   0.2
Periclase MgO -569 0 11.24 0 161 3 3.8 0.2 767   9 1.36 0.05 1.7 0.2 131   1 2.1 0.1 2.8  0.2
Wuestite FeO -242 1 12.26 0 179 1 4.9 0.2 454 21 1.53 0.13 1.7 1  59 1 1.4 0.1 -0.1 1  
Mg_Ca_Ferrite MgAl2O4 -2122 4 36.18 0 211 1 4.1 0.1 838 16 1.31 0.3 1.0 1 130 1 1.8 0.1 2.1 1  
Fe_Ca_Ferrite FeAl2O4 -1790 25 37.26 0 211 10 4.1 1 804 69 1.31 0.3 1.0 1 152 10 1.8 0.5 3.0 1  
Na_Ca_Ferrite NaAlSiO4 -1851 11 36.27 0 158 1 4.3 0.1 812 51 1.17 0.3 1.0 1 121 1 2.1 0.1 1.6 1  
Kyanite Al2SiO5 -2446 4 44.23 0 160 1 4.0 0 943   8 0.93 0.07 1.0 1 121 10 1.7 0.5 3.0 1 
Nepheline NaAlSiO4 -1993 3 54.67 0  53 1 4.0 1 701 13 0.69 0.03 1.0 1  31 1 1.3 0.5 0.6 1  
